year,month,geo,dguid,labour_force_characteristics,educational_degree,sex,age_group,uom,uom_id,scalar_factor,scalar_id,vector,coordinate,value,status,symbol,terminated,decimals
2021,02,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Males,15 years and over,Percentage,242,units,0,v54912638,1.10.2.2.1,35.3,NA,NA,NA,1
2021,03,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Males,15 years and over,Percentage,242,units,0,v54912638,1.10.2.2.1,35.1,NA,NA,NA,1
2021,04,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Males,15 years and over,Percentage,242,units,0,v54912638,1.10.2.2.1,36,NA,NA,NA,1
2021,05,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Males,15 years and over,Percentage,242,units,0,v54912638,1.10.2.2.1,37,NA,NA,NA,1
2021,06,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Males,15 years and over,Percentage,242,units,0,v54912638,1.10.2.2.1,38.9,NA,NA,NA,1
2021,07,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Males,15 years and over,Percentage,242,units,0,v54912638,1.10.2.2.1,41.9,NA,NA,NA,1
2021,08,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Males,15 years and over,Percentage,242,units,0,v54912638,1.10.2.2.1,41.8,NA,NA,NA,1
2021,09,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Males,15 years and over,Percentage,242,units,0,v54912638,1.10.2.2.1,39.8,NA,NA,NA,1
2021,10,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Males,15 years and over,Percentage,242,units,0,v54912638,1.10.2.2.1,38.7,NA,NA,NA,1
2021,11,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Males,15 years and over,Percentage,242,units,0,v54912638,1.10.2.2.1,39,NA,NA,NA,1
2021,12,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Males,15 years and over,Percentage,242,units,0,v54912638,1.10.2.2.1,38.8,NA,NA,NA,1
2017,01,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Females,15 years and over,Percentage,242,units,0,v54912645,1.10.2.3.1,24.8,NA,NA,NA,1
2017,02,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Females,15 years and over,Percentage,242,units,0,v54912645,1.10.2.3.1,24.6,NA,NA,NA,1
2017,03,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Females,15 years and over,Percentage,242,units,0,v54912645,1.10.2.3.1,25,NA,NA,NA,1
2017,04,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Females,15 years and over,Percentage,242,units,0,v54912645,1.10.2.3.1,24.4,NA,NA,NA,1
2017,05,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Females,15 years and over,Percentage,242,units,0,v54912645,1.10.2.3.1,25.9,NA,NA,NA,1
2017,06,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Females,15 years and over,Percentage,242,units,0,v54912645,1.10.2.3.1,26.1,NA,NA,NA,1
2017,07,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Females,15 years and over,Percentage,242,units,0,v54912645,1.10.2.3.1,27.9,NA,NA,NA,1
2017,08,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Females,15 years and over,Percentage,242,units,0,v54912645,1.10.2.3.1,26.7,NA,NA,NA,1
2017,09,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Females,15 years and over,Percentage,242,units,0,v54912645,1.10.2.3.1,26.4,NA,NA,NA,1
2017,10,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Females,15 years and over,Percentage,242,units,0,v54912645,1.10.2.3.1,27,NA,NA,NA,1
2017,11,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Females,15 years and over,Percentage,242,units,0,v54912645,1.10.2.3.1,26.4,NA,NA,NA,1
2017,12,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Females,15 years and over,Percentage,242,units,0,v54912645,1.10.2.3.1,26.7,NA,NA,NA,1
2018,01,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Females,15 years and over,Percentage,242,units,0,v54912645,1.10.2.3.1,25.3,NA,NA,NA,1
2018,02,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Females,15 years and over,Percentage,242,units,0,v54912645,1.10.2.3.1,25,NA,NA,NA,1
2018,03,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Females,15 years and over,Percentage,242,units,0,v54912645,1.10.2.3.1,24.5,NA,NA,NA,1
2018,04,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Females,15 years and over,Percentage,242,units,0,v54912645,1.10.2.3.1,24.8,NA,NA,NA,1
2018,05,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Females,15 years and over,Percentage,242,units,0,v54912645,1.10.2.3.1,26,NA,NA,NA,1
2018,06,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Females,15 years and over,Percentage,242,units,0,v54912645,1.10.2.3.1,25.9,NA,NA,NA,1
2018,07,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Females,15 years and over,Percentage,242,units,0,v54912645,1.10.2.3.1,27.7,NA,NA,NA,1
2018,08,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Females,15 years and over,Percentage,242,units,0,v54912645,1.10.2.3.1,27.7,NA,NA,NA,1
2018,09,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Females,15 years and over,Percentage,242,units,0,v54912645,1.10.2.3.1,26.1,NA,NA,NA,1
2018,10,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Females,15 years and over,Percentage,242,units,0,v54912645,1.10.2.3.1,26.1,NA,NA,NA,1
2018,11,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Females,15 years and over,Percentage,242,units,0,v54912645,1.10.2.3.1,26.3,NA,NA,NA,1
2018,12,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Females,15 years and over,Percentage,242,units,0,v54912645,1.10.2.3.1,25.9,NA,NA,NA,1
2019,01,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Females,15 years and over,Percentage,242,units,0,v54912645,1.10.2.3.1,25.3,NA,NA,NA,1
2019,02,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Females,15 years and over,Percentage,242,units,0,v54912645,1.10.2.3.1,25.7,NA,NA,NA,1
2019,03,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Females,15 years and over,Percentage,242,units,0,v54912645,1.10.2.3.1,25.9,NA,NA,NA,1
2019,04,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Females,15 years and over,Percentage,242,units,0,v54912645,1.10.2.3.1,26.4,NA,NA,NA,1
2019,05,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Females,15 years and over,Percentage,242,units,0,v54912645,1.10.2.3.1,27.5,NA,NA,NA,1
2019,06,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Females,15 years and over,Percentage,242,units,0,v54912645,1.10.2.3.1,27.5,NA,NA,NA,1
2019,07,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Females,15 years and over,Percentage,242,units,0,v54912645,1.10.2.3.1,28.4,NA,NA,NA,1
2019,08,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Females,15 years and over,Percentage,242,units,0,v54912645,1.10.2.3.1,28,NA,NA,NA,1
2019,09,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Females,15 years and over,Percentage,242,units,0,v54912645,1.10.2.3.1,25.7,NA,NA,NA,1
2019,10,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Females,15 years and over,Percentage,242,units,0,v54912645,1.10.2.3.1,25.8,NA,NA,NA,1
2019,11,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Females,15 years and over,Percentage,242,units,0,v54912645,1.10.2.3.1,25,NA,NA,NA,1
2019,12,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Females,15 years and over,Percentage,242,units,0,v54912645,1.10.2.3.1,25.2,NA,NA,NA,1
2020,01,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Females,15 years and over,Percentage,242,units,0,v54912645,1.10.2.3.1,25,NA,NA,NA,1
2020,02,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Females,15 years and over,Percentage,242,units,0,v54912645,1.10.2.3.1,25.4,NA,NA,NA,1
2020,03,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Females,15 years and over,Percentage,242,units,0,v54912645,1.10.2.3.1,22.2,NA,NA,NA,1
2020,04,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Females,15 years and over,Percentage,242,units,0,v54912645,1.10.2.3.1,18.1,NA,NA,NA,1
2020,05,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Females,15 years and over,Percentage,242,units,0,v54912645,1.10.2.3.1,19,NA,NA,NA,1
2020,06,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Females,15 years and over,Percentage,242,units,0,v54912645,1.10.2.3.1,21.8,NA,NA,NA,1
2020,07,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Females,15 years and over,Percentage,242,units,0,v54912645,1.10.2.3.1,24.9,NA,NA,NA,1
2020,08,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Females,15 years and over,Percentage,242,units,0,v54912645,1.10.2.3.1,25.2,NA,NA,NA,1
2020,09,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Females,15 years and over,Percentage,242,units,0,v54912645,1.10.2.3.1,23.9,NA,NA,NA,1
2020,10,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Females,15 years and over,Percentage,242,units,0,v54912645,1.10.2.3.1,23.7,NA,NA,NA,1
2020,11,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Females,15 years and over,Percentage,242,units,0,v54912645,1.10.2.3.1,22.9,NA,NA,NA,1
2020,12,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Females,15 years and over,Percentage,242,units,0,v54912645,1.10.2.3.1,22.2,NA,NA,NA,1
2021,01,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Females,15 years and over,Percentage,242,units,0,v54912645,1.10.2.3.1,20,NA,NA,NA,1
2021,02,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Females,15 years and over,Percentage,242,units,0,v54912645,1.10.2.3.1,21.7,NA,NA,NA,1
2021,03,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Females,15 years and over,Percentage,242,units,0,v54912645,1.10.2.3.1,22.4,NA,NA,NA,1
2021,04,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Females,15 years and over,Percentage,242,units,0,v54912645,1.10.2.3.1,21.7,NA,NA,NA,1
2021,05,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Females,15 years and over,Percentage,242,units,0,v54912645,1.10.2.3.1,23.1,NA,NA,NA,1
2021,06,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Females,15 years and over,Percentage,242,units,0,v54912645,1.10.2.3.1,25.4,NA,NA,NA,1
2021,07,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Females,15 years and over,Percentage,242,units,0,v54912645,1.10.2.3.1,27.7,NA,NA,NA,1
2021,08,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Females,15 years and over,Percentage,242,units,0,v54912645,1.10.2.3.1,29.2,NA,NA,NA,1
2021,09,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Females,15 years and over,Percentage,242,units,0,v54912645,1.10.2.3.1,26.8,NA,NA,NA,1
2021,10,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Females,15 years and over,Percentage,242,units,0,v54912645,1.10.2.3.1,25.8,NA,NA,NA,1
2021,11,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Females,15 years and over,Percentage,242,units,0,v54912645,1.10.2.3.1,27,NA,NA,NA,1
2021,12,Canada,2016A000011124,Employment rate,"No degree, certificate or diploma",Females,15 years and over,Percentage,242,units,0,v54912645,1.10.2.3.1,26.9,NA,NA,NA,1
2017,01,Canada,2016A000011124,Employment rate,High school graduate,Males,15 years and over,Percentage,242,units,0,v54912659,1.10.3.2.1,63.1,NA,NA,NA,1
2017,02,Canada,2016A000011124,Employment rate,High school graduate,Males,15 years and over,Percentage,242,units,0,v54912659,1.10.3.2.1,63.5,NA,NA,NA,1
2017,03,Canada,2016A000011124,Employment rate,High school graduate,Males,15 years and over,Percentage,242,units,0,v54912659,1.10.3.2.1,63.9,NA,NA,NA,1
2017,04,Canada,2016A000011124,Employment rate,High school graduate,Males,15 years and over,Percentage,242,units,0,v54912659,1.10.3.2.1,64.5,NA,NA,NA,1
2017,05,Canada,2016A000011124,Employment rate,High school graduate,Males,15 years and over,Percentage,242,units,0,v54912659,1.10.3.2.1,67.7,NA,NA,NA,1
2017,06,Canada,2016A000011124,Employment rate,High school graduate,Males,15 years and over,Percentage,242,units,0,v54912659,1.10.3.2.1,68.2,NA,NA,NA,1
2017,07,Canada,2016A000011124,Employment rate,High school graduate,Males,15 years and over,Percentage,242,units,0,v54912659,1.10.3.2.1,68.5,NA,NA,NA,1
2017,08,Canada,2016A000011124,Employment rate,High school graduate,Males,15 years and over,Percentage,242,units,0,v54912659,1.10.3.2.1,68.1,NA,NA,NA,1
2017,09,Canada,2016A000011124,Employment rate,High school graduate,Males,15 years and over,Percentage,242,units,0,v54912659,1.10.3.2.1,66.9,NA,NA,NA,1
2017,10,Canada,2016A000011124,Employment rate,High school graduate,Males,15 years and over,Percentage,242,units,0,v54912659,1.10.3.2.1,66.2,NA,NA,NA,1
2017,11,Canada,2016A000011124,Employment rate,High school graduate,Males,15 years and over,Percentage,242,units,0,v54912659,1.10.3.2.1,66.2,NA,NA,NA,1
2017,12,Canada,2016A000011124,Employment rate,High school graduate,Males,15 years and over,Percentage,242,units,0,v54912659,1.10.3.2.1,65.1,NA,NA,NA,1
2018,01,Canada,2016A000011124,Employment rate,High school graduate,Males,15 years and over,Percentage,242,units,0,v54912659,1.10.3.2.1,62.7,NA,NA,NA,1
2018,02,Canada,2016A000011124,Employment rate,High school graduate,Males,15 years and over,Percentage,242,units,0,v54912659,1.10.3.2.1,62.8,NA,NA,NA,1
2018,03,Canada,2016A000011124,Employment rate,High school graduate,Males,15 years and over,Percentage,242,units,0,v54912659,1.10.3.2.1,63.1,NA,NA,NA,1
2018,04,Canada,2016A000011124,Employment rate,High school graduate,Males,15 years and over,Percentage,242,units,0,v54912659,1.10.3.2.1,63.1,NA,NA,NA,1
2018,05,Canada,2016A000011124,Employment rate,High school graduate,Males,15 years and over,Percentage,242,units,0,v54912659,1.10.3.2.1,66.2,NA,NA,NA,1
2018,06,Canada,2016A000011124,Employment rate,High school graduate,Males,15 years and over,Percentage,242,units,0,v54912659,1.10.3.2.1,66.9,NA,NA,NA,1
2018,07,Canada,2016A000011124,Employment rate,High school graduate,Males,15 years and over,Percentage,242,units,0,v54912659,1.10.3.2.1,66.8,NA,NA,NA,1
2018,08,Canada,2016A000011124,Employment rate,High school graduate,Males,15 years and over,Percentage,242,units,0,v54912659,1.10.3.2.1,66.5,NA,NA,NA,1
2018,09,Canada,2016A000011124,Employment rate,High school graduate,Males,15 years and over,Percentage,242,units,0,v54912659,1.10.3.2.1,65,NA,NA,NA,1
2018,10,Canada,2016A000011124,Employment rate,High school graduate,Males,15 years and over,Percentage,242,units,0,v54912659,1.10.3.2.1,64.6,NA,NA,NA,1
2018,11,Canada,2016A000011124,Employment rate,High school graduate,Males,15 years and over,Percentage,242,units,0,v54912659,1.10.3.2.1,64,NA,NA,NA,1
2018,12,Canada,2016A000011124,Employment rate,High school graduate,Males,15 years and over,Percentage,242,units,0,v54912659,1.10.3.2.1,63.4,NA,NA,NA,1
2019,01,Canada,2016A000011124,Employment rate,High school graduate,Males,15 years and over,Percentage,242,units,0,v54912659,1.10.3.2.1,62.2,NA,NA,NA,1
2019,02,Canada,2016A000011124,Employment rate,High school graduate,Males,15 years and over,Percentage,242,units,0,v54912659,1.10.3.2.1,61.9,NA,NA,NA,1
2019,03,Canada,2016A000011124,Employment rate,High school graduate,Males,15 years and over,Percentage,242,units,0,v54912659,1.10.3.2.1,62.8,NA,NA,NA,1
2019,04,Canada,2016A000011124,Employment rate,High school graduate,Males,15 years and over,Percentage,242,units,0,v54912659,1.10.3.2.1,63.4,NA,NA,NA,1
2019,05,Canada,2016A000011124,Employment rate,High school graduate,Males,15 years and over,Percentage,242,units,0,v54912659,1.10.3.2.1,66.2,NA,NA,NA,1
2019,06,Canada,2016A000011124,Employment rate,High school graduate,Males,15 years and over,Percentage,242,units,0,v54912659,1.10.3.2.1,67.1,NA,NA,NA,1
2019,07,Canada,2016A000011124,Employment rate,High school graduate,Males,15 years and over,Percentage,242,units,0,v54912659,1.10.3.2.1,67.4,NA,NA,NA,1
2019,08,Canada,2016A000011124,Employment rate,High school graduate,Males,15 years and over,Percentage,242,units,0,v54912659,1.10.3.2.1,67.7,NA,NA,NA,1
2019,09,Canada,2016A000011124,Employment rate,High school graduate,Males,15 years and over,Percentage,242,units,0,v54912659,1.10.3.2.1,65.5,NA,NA,NA,1
2019,10,Canada,2016A000011124,Employment rate,High school graduate,Males,15 years and over,Percentage,242,units,0,v54912659,1.10.3.2.1,64.7,NA,NA,NA,1
2019,11,Canada,2016A000011124,Employment rate,High school graduate,Males,15 years and over,Percentage,242,units,0,v54912659,1.10.3.2.1,63.5,NA,NA,NA,1
2019,12,Canada,2016A000011124,Employment rate,High school graduate,Males,15 years and over,Percentage,242,units,0,v54912659,1.10.3.2.1,63.1,NA,NA,NA,1
2020,01,Canada,2016A000011124,Employment rate,High school graduate,Males,15 years and over,Percentage,242,units,0,v54912659,1.10.3.2.1,61.6,NA,NA,NA,1
2020,02,Canada,2016A000011124,Employment rate,High school graduate,Males,15 years and over,Percentage,242,units,0,v54912659,1.10.3.2.1,63.5,NA,NA,NA,1
2020,03,Canada,2016A000011124,Employment rate,High school graduate,Males,15 years and over,Percentage,242,units,0,v54912659,1.10.3.2.1,60.9,NA,NA,NA,1
2020,04,Canada,2016A000011124,Employment rate,High school graduate,Males,15 years and over,Percentage,242,units,0,v54912659,1.10.3.2.1,52.4,NA,NA,NA,1
2020,05,Canada,2016A000011124,Employment rate,High school graduate,Males,15 years and over,Percentage,242,units,0,v54912659,1.10.3.2.1,55.8,NA,NA,NA,1
2020,06,Canada,2016A000011124,Employment rate,High school graduate,Males,15 years and over,Percentage,242,units,0,v54912659,1.10.3.2.1,60.8,NA,NA,NA,1
2020,07,Canada,2016A000011124,Employment rate,High school graduate,Males,15 years and over,Percentage,242,units,0,v54912659,1.10.3.2.1,61.2,NA,NA,NA,1
2020,08,Canada,2016A000011124,Employment rate,High school graduate,Males,15 years and over,Percentage,242,units,0,v54912659,1.10.3.2.1,61.1,NA,NA,NA,1
2020,09,Canada,2016A000011124,Employment rate,High school graduate,Males,15 years and over,Percentage,242,units,0,v54912659,1.10.3.2.1,60.8,NA,NA,NA,1
2020,10,Canada,2016A000011124,Employment rate,High school graduate,Males,15 years and over,Percentage,242,units,0,v54912659,1.10.3.2.1,61.3,NA,NA,NA,1
2020,11,Canada,2016A000011124,Employment rate,High school graduate,Males,15 years and over,Percentage,242,units,0,v54912659,1.10.3.2.1,61.1,NA,NA,NA,1
